Series,Type,Year,Group,Value,Stdev,Scale
bts_bootstrap,absolute,2006,Arrowtooth_Adu,1042264.843,78208.8818,2.14E-06
bts_bootstrap,absolute,2007,Arrowtooth_Adu,826409.0701,64336.78388,2.14E-06
bts_bootstrap,absolute,2008,Arrowtooth_Adu,907359.2091,77603.43471,2.14E-06
bts_bootstrap,absolute,2009,Arrowtooth_Adu,696248.9683,67593.18838,2.14E-06
bts_bootstrap,absolute,2010,Arrowtooth_Adu,898978.854,74293.56745,2.14E-06
bts_bootstrap,absolute,2011,Arrowtooth_Adu,893616.2482,67975.95444,2.14E-06
bts_bootstrap,absolute,2012,Arrowtooth_Adu,689381.2279,72630.20522,2.14E-06
bts_bootstrap,absolute,2013,Arrowtooth_Adu,692823.7971,61755.72653,2.14E-06
bts_bootstrap,absolute,2014,Arrowtooth_Adu,797907.4348,54577.08897,2.14E-06
bts_bootstrap,absolute,2015,Arrowtooth_Adu,701389.6844,42512.53101,2.14E-06
bts_bootstrap,absolute,2016,Arrowtooth_Adu,807987.8281,39030.98935,2.14E-06
bts_bootstrap,absolute,2017,Arrowtooth_Adu,708964.1484,46980.88863,2.14E-06
bts_bootstrap,absolute,2018,Arrowtooth_Adu,845534.3372,59821.09992,2.14E-06
bts_bootstrap,absolute,2019,Arrowtooth_Adu,978057.0341,65077.17921,2.14E-06
bts_bootstrap,absolute,1982,Atka.mackerel,4932.948119,3793.545174,2.14E-06
bts_bootstrap,absolute,1983,Atka.mackerel,56530.92164,37967.93448,2.14E-06
bts_bootstrap,absolute,1984,Atka.mackerel,70253.24043,53432.15667,2.14E-06
bts_bootstrap,absolute,1985,Atka.mackerel,13094.68712,12932.11664,2.14E-06
bts_bootstrap,absolute,1986,Atka.mackerel,28125.22614,15854.57959,2.14E-06
bts_bootstrap,absolute,1987,Atka.mackerel,0,0,2.14E-06
bts_bootstrap,absolute,1988,Atka.mackerel,39789.544,39439.69954,2.14E-06
bts_bootstrap,absolute,1989,Atka.mackerel,7610.518294,5297.751039,2.14E-06
bts_bootstrap,absolute,1990,Atka.mackerel,51717.16627,44560.20654,2.14E-06
bts_bootstrap,absolute,1991,Atka.mackerel,53891.9962,37370.48363,2.14E-06
bts_bootstrap,absolute,1992,Atka.mackerel,40338.04265,29014.6796,2.14E-06
bts_bootstrap,absolute,1993,Atka.mackerel,6727.305843,6708.148046,2.14E-06
bts_bootstrap,absolute,1994,Atka.mackerel,19255.3536,18815.55308,2.14E-06
bts_bootstrap,absolute,1995,Atka.mackerel,97609.65803,95366.73895,2.14E-06
bts_bootstrap,absolute,1996,Atka.mackerel,0,0,2.14E-06
bts_bootstrap,absolute,1997,Atka.mackerel,81834.4034,54949.65422,2.14E-06
bts_bootstrap,absolute,1998,Atka.mackerel,35459.97234,35349.82132,2.14E-06
bts_bootstrap,absolute,1999,Atka.mackerel,83263.52422,60920.63467,2.14E-06
bts_bootstrap,absolute,2000,Atka.mackerel,4657.144025,4584.106347,2.14E-06
bts_bootstrap,absolute,2001,Atka.mackerel,37866.74315,37254.57853,2.14E-06
bts_bootstrap,absolute,2002,Atka.mackerel,217870.5098,133556.1737,2.14E-06
bts_bootstrap,absolute,2003,Atka.mackerel,38302.45415,26886.10613,2.14E-06
bts_bootstrap,absolute,2004,Atka.mackerel,263811.525,80955.69091,2.14E-06
bts_bootstrap,absolute,2005,Atka.mackerel,523002.3651,179631.1975,2.14E-06
bts_bootstrap,absolute,2006,Atka.mackerel,159619.7204,71083.7998,2.14E-06
bts_bootstrap,absolute,2007,Atka.mackerel,125107.9786,60757.67453,2.14E-06
bts_bootstrap,absolute,2008,Atka.mackerel,70481.80779,50005.51044,2.14E-06
bts_bootstrap,absolute,2009,Atka.mackerel,109224.8708,80893.8503,2.14E-06
bts_bootstrap,absolute,2010,Atka.mackerel,268888.9482,230047.5871,2.14E-06
bts_bootstrap,absolute,2011,Atka.mackerel,16460.93829,16291.71034,2.14E-06
bts_bootstrap,absolute,2012,Atka.mackerel,238482.2841,175085.1517,2.14E-06
bts_bootstrap,absolute,2013,Atka.mackerel,19350.85307,19188.23263,2.14E-06
bts_bootstrap,absolute,2014,Atka.mackerel,195448.8324,87893.09394,2.14E-06
bts_bootstrap,absolute,2015,Atka.mackerel,1290908.111,1209019.423,2.14E-06
bts_bootstrap,absolute,2016,Atka.mackerel,29595.83366,29568.14202,2.14E-06
bts_bootstrap,absolute,2017,Atka.mackerel,447109.1654,279242.1902,2.14E-06
bts_bootstrap,absolute,2018,Atka.mackerel,3663568.767,3620849.717,2.14E-06
bts_bootstrap,absolute,2019,Atka.mackerel,18434.65166,17859.6693,2.14E-06
bts_bootstrap,absolute,1982,Bairdi,195650.4203,32098.95137,2.14E-06
bts_bootstrap,absolute,1983,Bairdi,87813.71728,11177.4577,2.14E-06
bts_bootstrap,absolute,1984,Bairdi,67187.09712,9038.221929,2.14E-06
bts_bootstrap,absolute,1985,Bairdi,30212.48593,4440.773986,2.14E-06
bts_bootstrap,absolute,1986,Bairdi,37285.94725,6278.749992,2.14E-06
bts_bootstrap,absolute,1987,Bairdi,86746.48077,13500.73224,2.14E-06
bts_bootstrap,absolute,1988,Bairdi,160375.6309,27592.21065,2.14E-06
bts_bootstrap,absolute,1989,Bairdi,187779.7476,18838.63274,2.14E-06
bts_bootstrap,absolute,1990,Bairdi,226079.0232,23872.4139,2.14E-06
bts_bootstrap,absolute,1991,Bairdi,255015.6582,37814.63409,2.14E-06
bts_bootstrap,absolute,1992,Bairdi,193821.898,33183.72967,2.14E-06
bts_bootstrap,absolute,1993,Bairdi,111295.4193,13147.59716,2.14E-06
bts_bootstrap,absolute,1994,Bairdi,83713.62036,9530.150562,2.14E-06
bts_bootstrap,absolute,1995,Bairdi,68548.09036,10831.42307,2.14E-06
bts_bootstrap,absolute,1996,Bairdi,56740.51149,10915.32123,2.14E-06
bts_bootstrap,absolute,1997,Bairdi,27545.05038,2696.671924,2.14E-06
bts_bootstrap,absolute,1998,Bairdi,28261.53493,3280.366376,2.14E-06
bts_bootstrap,absolute,1999,Bairdi,36224.37101,7474.696588,2.14E-06
bts_bootstrap,absolute,2000,Bairdi,39313.86095,6415.231248,2.14E-06
bts_bootstrap,absolute,2001,Bairdi,56848.04423,7114.672975,2.14E-06
bts_bootstrap,absolute,2002,Bairdi,50849.35665,5510.607526,2.14E-06
bts_bootstrap,absolute,2003,Bairdi,73502.18919,8799.226282,2.14E-06
bts_bootstrap,absolute,2004,Bairdi,66262.69433,7096.311429,2.14E-06
bts_bootstrap,absolute,2005,Bairdi,117225.4058,11889.49061,2.14E-06
bts_bootstrap,absolute,2006,Bairdi,168077.6512,22452.65246,2.14E-06
bts_bootstrap,absolute,2007,Bairdi,163410.4375,21890.7798,2.14E-06
bts_bootstrap,absolute,2008,Bairdi,127446.788,23934.31479,2.14E-06
bts_bootstrap,absolute,2009,Bairdi,88967.43432,10120.7685,2.14E-06
bts_bootstrap,absolute,2010,Bairdi,86866.8585,10927.74883,2.14E-06
bts_bootstrap,absolute,2011,Bairdi,105714.6593,12885.09294,2.14E-06
bts_bootstrap,absolute,2012,Bairdi,130410.0289,21483.21864,2.14E-06
bts_bootstrap,absolute,2013,Bairdi,155038.6672,27318.42861,2.14E-06
